species_name,t_number,code,genome_link
Escherichia_coli_O26:H11_11368_(EHEC),T01098,eoj,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/005/GCA_000091005.1_ASM9100v1
Escherichia_coli_O103:H2_12009_(EHEC),T01096,eoh,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/745/GCA_000010745.1_ASM1074v1
Escherichia_coli_O145:H28_RM13514_(EHEC),T03010,ecoo,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/035/GCA_000520035.1_ASM52003v1
Escherichia_coli_O145:H28_RM13516_(EHEC),T03011,ecoh,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/055/GCA_000520055.1_ASM52005v1
Escherichia_coli_O104:H4_2011C-3493_(EAEC),T02257,esl,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/455/GCA_000299455.1_ASM29945v1
Escherichia_coli_O104:H4_2009EL-2071_(EAEC),T02256,eso,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/475/GCA_000299475.1_ASM29947v1
Escherichia_coli_O104:H4_2009EL-2050_(EAEC),T02316,esm,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/255/GCA_000299255.1_ASM29925v1
Escherichia_coli_55989_(EAEC),T00826,eck,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/245/GCA_000026245.1_ASM2624v1
Escherichia_coli_O127:H6_E2348,T00796,ecg,69_(EPEC)/https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/545/GCA_000026545.1_ASM2654v1
Escherichia_coli_O55:H7_CB9615_(EPEC),T01190,eok,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/165/GCA_000025165.1_ASM2516v1
Escherichia_coli_O55:H7_RM12579_(EPEC),T02066,elr,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/515/GCA_000245515.1_ASM24551v1
Escherichia_coli_O78:H11:K80_H10407_(ETEC),T02069,elh,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/475/GCA_000210475.1_ASM21047v1
Escherichia_coli_O139:H28_E24377A_(ETEC),T00590,ecw,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/745/GCA_000017745.1_ASM1774v1
Escherichia_coli_UMNK88_(ETEC,T02001,eun,_porcine),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/715/GCA_000212715.2_ASM21271v2
Escherichia_coli_O6:K15:H31_536_(UPEC),T00373,ecp,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/305/GCA_000013305.1_ASM1330v1
Escherichia_coli_NA114_(UPEC),T01998,ena,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/765/GCA_000214765.3_ASM21476v3
Escherichia_coli_O25b:K100:H4-ST131_EC958_(UPEC),T04373,ecos,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/285/655/GCA_000285655.3_EC958.v1
Escherichia_coli_APEC_O1_(APEC),T00425,ecv,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/845/GCA_000014845.1_ASM1484v1
Escherichia_coli_APEC_O78_(APEC),T02445,ecoa,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/755/GCA_000332755.1_ASM33275v1
Escherichia_coli_O9_HS_(commensal),T00591,ecx,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/765/GCA_000017765.1_ASM1776v1
Escherichia_coli_SMS-3-5_(environmental),T00672,ecm,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/645/GCA_000019645.1_ASM1964v1
Escherichia_coli_O152:H28_SE11_(commensal),T00784,ecy,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/385/GCA_000010385.1_ASM1038v1
Escherichia_coli_O8_IAI1_(commensal),T00828,ecr,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/265/GCA_000026265.1_ASM2626v1
Escherichia_coli_O81_ED1a_(commensal),T00827,ecq,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/305/GCA_000026305.1_ASM2630v1
Escherichia_coli_O17:K52:H18_UMN026_(ExPEC),T00831,eum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/325/GCA_000026325.2_ASM2632v2
Escherichia_coli_O7:K1_IAI39_(ExPEC),T00829,ect,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/345/GCA_000026345.1_ASM2634v1
Escherichia_coli_O7:K1_CE10,T01999,eoc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/625/GCA_000227625.1_ASM22762v1
Escherichia_coli_B_REL606,T00944,ebr,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/985/GCA_000017985.1_ASM1798v1
Escherichia_coli_BL21(DE3),T00931,ebl,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/665/GCA_000022665.2_ASM2266v1
Escherichia_coli_BL21(DE3),T02096,ebe,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/565/GCA_000009565.2_ASM956v1
Escherichia_coli_BL21-Gold(DE3)pLysS_AG,T00939,ebd,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/665/GCA_000023665.1_ASM2366v1
Escherichia_coli_O18:K1:H7_UTI89_(UPEC),T00338,eci,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/265/GCA_000013265.1_ASM1326v1
Escherichia_coli_O18:K1:H7_IHE3034_(ExPEC),T01997,eih,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/745/GCA_000025745.1_ASM2574v1
Escherichia_coli_O45:K1:H7_S88_(ExPEC),T00830,ecz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/285/GCA_000026285.2_ASM2628v2
Escherichia_coli_O6:K2:H1_CFT073_(UPEC),T00106,ecc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/445/GCA_000007445.1_ASM744v1
Escherichia_coli_O44:H18_042_(EAEC),T02067,elo,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/125/GCA_000027125.1_ASM2712v1
Escherichia_coli_O83:H1_NRG_857C_(AIEC),T02068,eln,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/345/GCA_000183345.1_ASM18334v1
Escherichia_coli_O150:H5_SE15_(commensal),T02077,ese,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/485/GCA_000010485.1_ASM1048v1
Escherichia_coli_ATCC_8739,T00697,ecl,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/385/GCA_000019385.1_ASM1938v1
Escherichia_coli_KO11FL,T01718,eko,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/855/GCA_000147855.3_ASM14785v3
Escherichia_coli_KO11FL,T02104,ekf,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/025/GCA_000258025.1_ASM25802v1
Escherichia_coli_ABU_83972,T01995,eab,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/365/GCA_000148365.1_ASM14836v1
Escherichia_coli_DH1,T01996,edh,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/365/GCA_000023365.1_ASM2336v1
Escherichia_coli_DH1,T02102,edj,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/105/GCA_000270105.1_ASM27010v1
Escherichia_coli_UM146,T02000,elu,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/605/GCA_000148605.1_ASM14860v1
Escherichia_coli_W,T02002,elw,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/185/GCA_000184185.1_ASM18418v1
Escherichia_coli_W,T02101,ell,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/145/GCA_000258145.1_ASM25814v1
Escherichia_coli_clone_D_i14,T02003,elc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/895/GCA_000233895.1_ASM23389v1
Escherichia_coli_clone_D_i2,T02004,eld,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/875/GCA_000233875.1_ASM23387v1
Escherichia_coli_P12b,T02030,elp,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/257/275/GCA_000257275.1_ASM25727v1
Escherichia_coli_LF82,T00854,elf,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/495/GCA_000284495.1_ASM28449v1
Escherichia_coli_LY180,T02846,ecol,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/468/515/GCA_000468515.1_ASM46851v1
Escherichia_coli_O18:K1_PMV-1_(ExPEC),T02847,ecoi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/493/595/GCA_000493595.1_EcoPMV1
Escherichia_coli_JJ1886,T02896,ecoj,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/493/755/GCA_000493755.1_ASM49375v1
Escherichia_fergusonii,T00811,efe,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/225/GCA_000026225.1_ASM2622v1
Escherichia_albertii,T03986,eal,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/125/GCA_000512125.1_ASM51212v1
Escherichia_marmotae,T05353,ema,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/900/365/GCA_002900365.1_ASM290036v1
Escherichia_sp._E4742,T06276,esz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/843/885/GCA_005843885.1_ASM584388v1
Escherichia_ruysiae,T09019,eruy,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/876/145/GCA_029876145.1_ASM2987614v1
Salmonella_enterica_subsp._enterica_serovar_Typhi_CT18,T00064,sty,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/995/GCF_000195995.1_ASM19599v1
Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2,T00121,stt,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/545/GCA_000007545.1_ASM754v1
Salmonella_enterica_subsp._enterica_serovar_Typhi_P-stx-12,T01741,sex,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/535/GCA_000245535.1_ASM24553v1
Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty21a,T02648,sent,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/905/GCA_000385905.1_ASM38590v1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_LT2,T00065,stm,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/945/GCF_000006945.2_ASM694v2
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_14028S,T01714,seo,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/165/GCA_000022165.1_ASM2216v1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_D23580,T01715,sev,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/025/GCA_000027025.1_ASM2702v1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_SL1344,T01724,sey,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/855/GCA_000210855.2_ASM21085v2
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_T000240,T01742,sem,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/735/GCA_000283735.1_ASM28373v1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_UK-1,T01743,sej,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/635/GCA_000213635.1_ASM21363v1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_ST4,T01760,seb,74/https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/735/GCA_000188735.1_ASM18873v1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_798,T01782,sef,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/252/875/GCA_000252875.1_ASM25287v1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_U288,T02639,setu,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/380/325/GCA_000380325.1_ASM38032v1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_var._5-_CFSAN001921,T02737,setc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/145/GCA_000430145.3_ASM43014v3
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_DT2,T02869,senr,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/493/535/GCA_000493535.2_DT2
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_DT104,T02874,send,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/493/675/GCA_000493675.1_DT104
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_138736,T03493,seni,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/636/135/GCA_000636135.1_ASM63613v1
Salmonella_enterica_subsp._enterica_serovar_4,T02738,seen,[5],12:i:-_str._08-1736,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/165/GCA_000430165.1_ASM43016v1
Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_ATCC9150,T00219,spt,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/885/GCA_000011885.1_ASM1188v1
Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_AKU12601,T00756,sek,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/565/GCA_000026565.1_ASM2656v1
Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B,T00628,spq,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/705/GCA_000018705.1_ASM1870v1
Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C,T00862,sei,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/385/GCA_000018385.1_ASM1838v1
Salmonella_enterica_subsp._enterica_serovar_Choleraesuis,T00240,sec,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/105/GCA_000008105.1_ASM810v1
Salmonella_enterica_subsp._enterica_serovar_Heidelberg_SL476,T00738,seh,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/705/GCA_000020705.1_ASM2070v1
Salmonella_enterica_subsp._enterica_serovar_Heidelberg_B182,T02011,shb,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/365/GCA_000258365.1_ASM25836v1
Salmonella_enterica_subsp._enterica_serovar_Heidelberg_CFSAN002069,T02735,senh,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/085/GCA_000430085.2_ASM43008v2
Salmonella_enterica_subsp._enterica_serovar_Heidelberg_41578,T02736,seeh,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/105/GCA_000430105.1_ASM43010v1
Salmonella_enterica_subsp._enterica_serovar_Newport_SL254,T00739,see,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/045/GCA_000016045.1_ASM1604v1
Salmonella_enterica_subsp._enterica_serovar_Newport_USMARC-S3124.1,T02779,senn,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/415/GCA_000442415.1_ASM44241v1
Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund,T00743,sew,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/745/GCA_000020745.1_ASM2074v1
Salmonella_enterica_subsp._enterica_serovar_Agona_SL483,T00751,sea,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/885/GCA_000020885.1_ASM2088v1
Salmonella_enterica_subsp._enterica_serovar_Agona_24249,T02944,sens,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/503/845/GCA_000503845.1_ASM50384v1
Salmonella_enterica_subsp._enterica_serovar_Dublin,T00757,sed,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/925/GCA_000020925.1_ASM2092v1
Salmonella_enterica_subsp._enterica_serovar_Gallinarum_287,T00770,seg,91/https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/525/GCA_000009525.1_ASM952v1
Salmonella_enterica_subsp._enterica_serovar_Gallinarum,T01740,sel,pullorum_RKS5078/https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/545/GCA_000235545.1_ASM23554v1
Salmonella_enterica_subsp._enterica_serovar_Gallinarum,T02824,sega,pullorum_CDC1983-67/https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/462/995/GCA_000462995.1_ASM46299v1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_P125109,T00776,set,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/505/GCA_000009505.1_ASM950v1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_EC20090135,T03731,sena,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/755/GCA_000623755.2_ASM62375v2
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_EC20090193,T03732,seno,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/775/GCA_000623775.2_ASM62377v2
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_EC20090332,T03760,senv,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/795/GCA_000623795.2_ASM62379v2
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_EC20090531,T03761,senq,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/626/155/GCA_000626155.2_ASM62615v2
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_OLF-SE1-1019-1,T03817,senl,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/475/GCA_000750475.1_ASM75047v1
Salmonella_enterica_subsp._enterica_serovar_Javiana,T02479,senj,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/425/GCA_000341425.1_ASM34142v1
Salmonella_enterica_subsp._enterica_serovar_Cubana,T02734,seec,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/125/GCA_000430125.1_ASM43012v1
Salmonella_enterica_subsp._enterica_serovar_Bareilly,T02739,seeb,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/415/GCA_000439415.1_ASM43941v1
Salmonella_enterica_subsp._enterica_serovar_Pullorum,T02790,seep,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/444/445/GCA_000444445.1_ASM44444v1
Salmonella_enterica_subsp._enterica_serovar_Bovismorbificans,T02827,senb,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/465/GCA_000499465.2_SB3114
Salmonella_enterica_subsp._enterica_serovar_Thompson,T02868,sene,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/473/275/GCA_000473275.1_ASM47327v1
Salmonella_enterica_subsp._enterica_serovar_Tennessee,T03730,senc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/405/GCA_000486405.2_ASM48640v2
Salmonella_enterica_subsp._arizonae,T00627,ses,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/625/GCA_000018625.1_ASM1862v1
Salmonella_bongori_NCTC_12419,T01579,sbg,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/252/995/GCA_000252995.1_ASM25299v1
Salmonella_bongori_N268-08,T02733,sbz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/255/GCA_000439255.1_ASM43925v1
Salmonella_bongori_serovar_48:z41:--,T03249,sbv,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/709/535/GCA_000709535.1_ASM70953v1
Salmonella_sp._SSDFZ69,T06160,salz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/010/755/GCA_004010755.1_ASM401075v1
Shigella_flexneri_301_(serotype_2a),T00097,sfl,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/925/GCF_000006925.2_ASM692v2
Shigella_flexneri_2457T_(serotype_2a),T00128,sfx,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/405/GCA_000007405.1_ASM740v1
Shigella_flexneri_8401_(serotype_5b),T00377,sfv,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/585/GCA_000013585.1_ASM1358v1
Shigella_flexneri_2002017_(serotype_Fxv),T01883,sfe,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/245/GCA_000022245.1_ASM2224v1
Shigella_flexneri_2003036,T03267,sfn,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/955/GCA_000743955.1_ASM74395v1
Shigella_flexneri_Shi06HN006_(serotype_Yv),T03315,sfs,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/995/GCA_000743995.1_ASM74399v1
Shigella_flexneri_NCTC1_(serotype_2a),T03751,sft,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/035/GCA_000953035.1_NCTC1
Shigella_sonnei_Ss046,T00274,ssn,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/525/GCA_000092525.1_ASM9252v1
Shigella_boydii_Sb227_(serotype_4),T00301,sbo,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/025/GCA_000012025.1_ASM1202v1
Shigella_boydii_CDC_3083-94_(serotype_18),T00700,sbc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/185/GCA_000020185.1_ASM2018v1
Shigella_dysenteriae_Sd197,T00306,sdy,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/005/GCA_000012005.1_ASM1200v1
Shigella_dysenteriae_1617_(serotype_1),T02933,sdz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/497/505/GCA_000497505.1_ASM49750v1
Shigella_sp._PAMC_28760,T04390,shq,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/596/115/GCA_001596115.1_ASM159611v1
Enterobacter_cloacae_subsp._cloacae_ATCC_13047,T01231,enc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/565/GCA_000025565.1_ASM2556v1
Enterobacter_cloacae_subsp._dissolvens_SDM,T02159,enl,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/765/GCA_000235765.3_ASM23576v3
Enterobacter_cloacae_GGT036,T03429,eclg,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/155/GCA_000770155.1_ASM77015v1
Enterobacter_cloacae_ECNIH2,T03471,ecle,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/724/505/GCA_000724505.1_ASM72450v1
Enterobacter_cloacae_ECNIH4,T03486,ecln,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/865/GCA_000784865.1_ASM78486v1
Enterobacter_cloacae_ECNIH5,T03706,ecli,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/905/GCA_000784905.1_ASM78490v1
Enterobacter_hormaechei_subsp._xiangfangensis,T03707,eclx,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/225/GCA_000814225.1_ASM81422v1
Enterobacter_hormaechei_subsp._steigerwaltii,T03708,ecly,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/125/GCA_000814125.3_ASM81412v3
Enterobacter_hormaechei_subsp._hormaechei,T03709,eclz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/205/GCA_000814205.1_ASM81420v1
Enterobacter_hormaechei_NCTC_9394,T02615,eclo,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/775/GCA_000210775.1_ASM21077v1
Enterobacter_hormaechei_CAV1176,T04593,ehm,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/874/505/GCA_001874505.1_ASM187450v1
Enterobacter_hormaechei_subsp._xiangfangensis,T04821,exf,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/785/GCA_001729785.1_ASM172978v1
Enterobacter_hormaechei_subsp._hoffmannii_ECNIH3,T03350,ecla,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/225/GCA_000750225.1_ASM75022v1
Enterobacter_hormaechei_subsp._hoffmannii_ECR091,T03378,eclc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/275/GCA_000750275.1_ASM75027v1
Enterobacter_asburiae_L1,T03084,eau,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/632/395/GCA_000632395.1_ASM63239v1
Enterobacter_kobei_DSM_13645,T04686,ekb,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/765/GCA_001729765.1_ASM172976v1
Enterobacter_kobei_ENHKU01,T02315,eno,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/286/275/GCA_000286275.1_ASM28627v1
Enterobacter_ludwigii_EcWSU1,T01652,eec,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/975/GCA_000239975.1_ASM23997v1
Enterobacter_ludwigii_EN-119,T04719,elg,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/750/725/GCA_001750725.1_ASM175072v1
Enterobacter_cancerogenus,T05545,ecan,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/850/575/GCA_002850575.1_ASM285057v1
Enterobacter_roggenkampii_DSM_16690,T05556,ern,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/805/GCA_001729805.1_ASM172980v1
Enterobacter_roggenkampii_35734,T04878,ecls,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/807/415/GCA_000807415.4_ASM80741v4
Enterobacter_chengduensis,T06229,echg,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/984/825/GCA_001984825.2_ASM198482v2
